t,w,thrust
1,502741.37125135004,12666100.853837637
6,477015.42639443005,13171356.496868733
12,445098.85287175,13421780.991035212
18,412471.04651291005,13579034.472568505
24,381465.28646919003,13121782.85752244
30,354428.91325534,12168646.81966858
36,329399.23268637003,11394195.89537601
42,305644.60026947,10767569.582405442
48,283061.59694428,10194857.543057116
54,261000.22484459,10091509.191338733
60,238724.30355389,10527064.66410746
66,216084.14759008,10871344.324598841
72,192652.92653299,11197020.814548971
78,168173.90710120002,11270421.51138201
84,142761.84816432002,10658814.566268673
90,117160.18761678001,9778595.75173029
96,90828.69694591001,9249797.30711764
102,65122.71015327,8440883.139184149
108,40381.06073925,7501273.503203021
110,32469.95621408,7298238.5144027835
112,24819.21370929,6457609.358666003
114,17714.59641798,4706467.076399471
116,11052.23168742,3149060.902339155
118,6037.3144447,2310478.077164079
120,2710.2144107500003,1581465.252661918
122,1080.91061771,848770.5950950681
124,1018.76846302,418618.3676325092
